game_id,round,rater_id,rater_role,target_id,target_role,trust_rating,timestamp
20250325_002840,1,player1,werewolf,player3,seer,7,2025-03-25T00:34:05.424911
20250325_002840,1,player1,werewolf,player4,witch,3,2025-03-25T00:34:05.424911
20250325_002840,1,player1,werewolf,player5,hunter,6,2025-03-25T00:34:05.424911
20250325_002840,1,player1,werewolf,player6,villager,4,2025-03-25T00:34:05.424911
20250325_002840,1,player1,werewolf,player7,villager,5,2025-03-25T00:34:05.424911
20250325_002840,1,player1,werewolf,player8,villager,5,2025-03-25T00:34:05.424911
20250325_002840,1,player3,seer,player1,werewolf,7,2025-03-25T00:34:05.424911
20250325_002840,1,player3,seer,player4,witch,8,2025-03-25T00:34:05.424911
20250325_002840,1,player3,seer,player5,hunter,5,2025-03-25T00:34:05.424911
20250325_002840,1,player3,seer,player6,villager,3,2025-03-25T00:34:05.424911
20250325_002840,1,player3,seer,player7,villager,5,2025-03-25T00:34:05.424911
20250325_002840,1,player3,seer,player8,villager,6,2025-03-25T00:34:05.424911
20250325_002840,1,player4,witch,player1,werewolf,6,2025-03-25T00:34:05.424911
20250325_002840,1,player4,witch,player3,seer,8,2025-03-25T00:34:05.424911
20250325_002840,1,player4,witch,player5,hunter,4,2025-03-25T00:34:05.424911
20250325_002840,1,player4,witch,player6,villager,3,2025-03-25T00:34:05.424911
20250325_002840,1,player4,witch,player7,villager,7,2025-03-25T00:34:05.424911
20250325_002840,1,player4,witch,player8,villager,5,2025-03-25T00:34:05.424911
20250325_002840,1,player5,hunter,player1,werewolf,7,2025-03-25T00:34:05.424911
20250325_002840,1,player5,hunter,player3,seer,8,2025-03-25T00:34:05.424911
20250325_002840,1,player5,hunter,player4,witch,6,2025-03-25T00:34:05.424911
20250325_002840,1,player5,hunter,player6,villager,4,2025-03-25T00:34:05.424911
20250325_002840,1,player5,hunter,player7,villager,5,2025-03-25T00:34:05.424911
20250325_002840,1,player5,hunter,player8,villager,5,2025-03-25T00:34:05.424911
20250325_002840,1,player6,villager,player1,werewolf,6,2025-03-25T00:34:05.424911
20250325_002840,1,player6,villager,player3,seer,8,2025-03-25T00:34:05.424911
20250325_002840,1,player6,villager,player4,witch,8,2025-03-25T00:34:05.424911
20250325_002840,1,player6,villager,player5,hunter,5,2025-03-25T00:34:05.424911
20250325_002840,1,player6,villager,player7,villager,6,2025-03-25T00:34:05.424911
20250325_002840,1,player6,villager,player8,villager,6,2025-03-25T00:34:05.424911
20250325_002840,1,player7,villager,player1,werewolf,7,2025-03-25T00:34:05.424911
20250325_002840,1,player7,villager,player3,seer,8,2025-03-25T00:34:05.424911
20250325_002840,1,player7,villager,player4,witch,9,2025-03-25T00:34:05.424911
20250325_002840,1,player7,villager,player5,hunter,5,2025-03-25T00:34:05.424911
20250325_002840,1,player7,villager,player6,villager,4,2025-03-25T00:34:05.424911
20250325_002840,1,player7,villager,player8,villager,6,2025-03-25T00:34:05.424911
20250325_002840,1,player8,villager,player1,werewolf,7,2025-03-25T00:34:05.424911
20250325_002840,1,player8,villager,player3,seer,6,2025-03-25T00:34:05.424911
20250325_002840,1,player8,villager,player4,witch,7,2025-03-25T00:34:05.424911
20250325_002840,1,player8,villager,player5,hunter,3,2025-03-25T00:34:05.424911
20250325_002840,1,player8,villager,player6,villager,5,2025-03-25T00:34:05.424911
20250325_002840,1,player8,villager,player7,villager,7,2025-03-25T00:34:05.424911
20250325_002840,2,player1,werewolf,player4,witch,4,2025-03-25T00:42:29.727136
20250325_002840,2,player1,werewolf,player6,villager,5,2025-03-25T00:42:29.727136
20250325_002840,2,player1,werewolf,player7,villager,6,2025-03-25T00:42:29.727136
20250325_002840,2,player1,werewolf,player8,villager,7,2025-03-25T00:42:29.727136
20250325_002840,2,player4,witch,player1,werewolf,6,2025-03-25T00:42:29.727136
20250325_002840,2,player4,witch,player6,villager,4,2025-03-25T00:42:29.727136
20250325_002840,2,player4,witch,player7,villager,8,2025-03-25T00:42:29.727136
20250325_002840,2,player4,witch,player8,villager,5,2025-03-25T00:42:29.727136
20250325_002840,2,player6,villager,player1,werewolf,6,2025-03-25T00:42:29.727136
20250325_002840,2,player6,villager,player4,witch,8,2025-03-25T00:42:29.727136
20250325_002840,2,player6,villager,player7,villager,5,2025-03-25T00:42:29.727136
20250325_002840,2,player6,villager,player8,villager,5,2025-03-25T00:42:29.727136
20250325_002840,2,player7,villager,player1,werewolf,2,2025-03-25T00:42:29.727136
20250325_002840,2,player7,villager,player4,witch,7,2025-03-25T00:42:29.727136
20250325_002840,2,player7,villager,player6,villager,5,2025-03-25T00:42:29.727136
20250325_002840,2,player7,villager,player8,villager,6,2025-03-25T00:42:29.727136
20250325_002840,2,player8,villager,player1,werewolf,4,2025-03-25T00:42:29.727136
20250325_002840,2,player8,villager,player4,witch,7,2025-03-25T00:42:29.727136
20250325_002840,2,player8,villager,player6,villager,6,2025-03-25T00:42:29.727136
20250325_002840,2,player8,villager,player7,villager,5,2025-03-25T00:42:29.727136
